#n  DM Mass (GeV)  sigma_H  sigma_He  
-4  1e+03  3.959837854315583e-39  1.0101053404325648e-39
-4  1e-01  3.577426673113825e-42  1.232113071311675e-41
-4  1e+02  3.396194758063283e-40  9.098205078816112e-41
-4  1e+00  1.0241953317903683e-41  1.5448593945572607e-41
-4  1e-05  2.030504681855628e-42  8.122018727422513e-42
-4  1e+01  4.160831810734081e-41  1.6617192142499017e-41
-4  1e-03  3.2878605853897615e-42  1.313040214120144e-41
-2  1e-01  6.046787688263395e-34  2.4187150753053588e-33
-2  1e+02  3.4410058296584306e-32  1.3764023318633727e-31
-2  1e+03  3.982951711538128e-31  1.5931806846152517e-30
-2  1e-05  5.359501194086978e-34  2.143800477634792e-33
-2  1e+01  4.725263088336185e-33  1.8901052353344745e-32
-2  1e-03  4.382725751727938e-34  1.753090300691176e-33
-2  1e+00  8.984772334278335e-34  3.5939089337113346e-33
2  1e+03  7.935513521552339e-17  7.805064232740382e-14
2  1e-03  1.3322448118218759e-21  5.3460712788682545e-21
2  1e+02  7.488499864208103e-18  6.678032544067154e-15
2  1e-05  5.3668162871534275e-24  2.1467265148613716e-23
2  1e+00  9.134418300671427e-19  2.5694994989300878e-17
2  1e+01  2.229072130348611e-18  8.944357204044172e-16
2  1e-01  1.9872614282283213e-19  1.072198829352756e-18
0  1e+02  1.3870617976770616e-24  8.284239742801926e-23
0  1e-03  1.1876290034741718e-26  4.7581282566642804e-26
0  1e+03  1.0991967415790987e-23  6.894553575620218e-22
0  1e-05  3.476501192842107e-27  1.390600477136843e-26
0  1e+01  1.9293298337716518e-25  7.72945694017655e-24
0  1e+00  9.361084716343651e-26  9.929788355628e-25
0  1e-01  3.699454721630829e-26  1.7186121378356792e-25
